subgenus	group	genus	species	extraction	island	locality	sex	tissue	Ef1g	fz4	Gpdh	Pgi	Yp2
	picticornis	Drosophila	setosifrons	M09243	Hawaii	Cymbidium Acres, 7 Dec 1995	female	genitalia			AY006462		JN816243
	planitibia	Drosophila	heteroneura	M09190	Hawaii	UH-Manoa lab stock	Male	Genitalia	JN815517	JN815676	JN815839	JN816003	JN816206
	planitibia	Drosophila	planitibia	M09188	Maui	Waikamoi, Haiku Uka, 21 Dec 2010	Female	Genitalia	JN815515	JN815674	JN815837	JN816001	JN816204
	planitibia	Drosophila	silvestris	M09129	Hawaii	Kukuiopae, 29 Dec 2009	Male	Body soak	JN815476	JN815641	JN815803	JN815967	JN816169
	punalua	Drosophila	basisetae	M09004	Hawaii	Stainback Highway, 21 Jul 2009	Male	Body soak	JN815352	JN815564	JN815718	JN815882	JN816045
	punalua	Drosophila	paucipuncta	M09090	Hawaii	Olaa Small Tract, 1 Jan 2010	Male	Body soak	JN815437	JN815616	JN815774	JN815938	JN816130
	punalua	Drosophila	prolaticilia	M09091	Hawaii	Army R  D. makai, 8 Dec 2009	Female	Body soak	JN815438	JN815617	JN815775	JN815939	JN816131
	punalua	Drosophila	prostopalpis	M09063	Maui	Puu Kukui trail, 5 Jun 2009	Male	Body soak	JN815410	JN815592	JN815749	JN815913	JN816103
	punalua	Drosophila	punalua	M09006	Oahu	above Nuuanu Pali lookout, 2 Aug 2009	Female	Body soak	JN815354	JN815566	JN815720	JN815884	JN816047
	split tarsus	Drosophila	ancyla	M09073	Maui	Kahanaiki Valley, 18 Aug 2009	Male	Body soak	JN815420	JN815601	JN815758	JN815922	JN816113
	split tarsus	Drosophila	variabilis	M09074	Maui	Maile Trail, 1 Jun 2009	Male	Body soak	JN815421	JN815602	JN815759	JN815923	JN816114
	spoon tarsus	Drosophila	neutralis	M09076	Hawaii	Tom’s Trail upper forest, 5 Oct 2009	Male	Body soak	JN815423	JN815604	JN815761	JN815925	JN816116
	spoon tarsus	Drosophila	sordidapex	M09077	Hawaii	Laupahoehoe, FR side, 14 Jul 2009	Male	Body soak	JN815424	JN815605	JN815762	JN815926	JN816117
Tantalia		Scaptomyza	nigrosignata	M09233	Hawaii	Puu Pili, 20 Jun 2009	Male	Body soak	JN815551	JN815705	JN815869	JN816032	JN816235
Titanochaeta		Scaptomyza	chauliodon	M09234	Maui	Piinaau Ridge east, 2 Jun 2009	Male	Body soak	JN815552	JN815706	JN815870	JN816033	JN816236
	unplaced	Drosophila	adventitia	M09231	Kauai	Puu O Kila Rd., 25 Jul 2010	Male	Genitalia	JN815549	JN815704	JN815867	JN816030	JN816233
	unplaced	Drosophila	primaeva	M09157	Kauai	N. fork Wailua River, 19 Jul 2010	Male	Genitalia	JN815488	JN815652	JN815814	JN815978	JN816181
	Unplaced	Drosophila	nr_lonchoptera	M09128	Kauai	Alakai Swamp Trail, 24 Jun 2009	Male	Body soak	JN815475	JN815640	JN815802	JN815966	JN816168
	velata	Drosophila	lauoho	M09197	Molokai	Huewai Gulch, 16 Dec 2010	Male	Genitalia	JN815524	JN815682	JN815845	JN816009	JN816211
	velata	Drosophila	pohaka	M09198	Maui	Kahanaiki Valley, 18 Aug 2009	Male	Genitalia	JN815525	JN815683	JN815846	JN816010	JN816212
	vesciseta	Drosophila	ambochila	M09093	Oahu	Kaluaa Gulch, 26 Jan 2010	Male	Body soak	JN815440	JN815619	JN815777	JN815941	JN816133
	vesciseta	Drosophila	montgomeryi	M09101	Oahu	Kaluaa Gulch, 26 Jan 2010	Male	Body soak	JN815448	JN815626	JN815784	JN815948	JN816141
	vesciseta	Drosophila	pihulu	M09239	Maui	Waikapu Valley, 1 May 2011	Male	Genitalia	JN815557	JN815711	JN815875	JN816038	JN816241
	vesciseta	Drosophila	vesciseta	M09102	Maui	Makawao FR nr. res., 11 Mar 2010	Female	Body soak	JN815449	JN815627	JN815785	JN815949	JN816142
