original_genus	original_species	new_genus	new_species	change	publication
Drosophila	reducta	Scaptomyza	reducta	new comb	Ogrady_2003_PlacementTitanochaeta
Drosophila	undulata	Scaptomyza	undulata	new comb	Ogrady_2003_PlacementTitanochaeta
Grimshawomyia	palata	Scaptomyza	palata	new comb	Ogrady_2003_PlacementTitanochaeta
Grimshawomyia	perkinsi	Scaptomyza	perkinsi	new comb	Ogrady_2003_PlacementTitanochaeta
Titanochaeta	bryani	Scaptomyza	bryani	new comb	Ogrady_2003_PlacementTitanochaeta
Titanochaeta	chauliodon	Scaptomyza	chauliodon	new comb	Ogrady_2003_PlacementTitanochaeta
Titanochaeta	contestata	Scaptomyza	contestata	new comb	Ogrady_2003_PlacementTitanochaeta
Titanochaeta	evexa	Scaptomyza	neoevexa	new comb	Ogrady_2003_PlacementTitanochaeta
Titanochaeta	glauca	Scaptomyza	glauca	new comb	Ogrady_2003_PlacementTitanochaeta
Titanochaeta	ichneumon	Scaptomyza	ichneumon	new comb	Ogrady_2003_PlacementTitanochaeta
Titanochaeta	kauaiensis	Scaptomyza	neokauaiensis	new comb	Ogrady_2003_PlacementTitanochaeta
Titanochaeta	setosiscutellum	Scaptomyza	setosiscutellum	new comb	Ogrady_2003_PlacementTitanochaeta
Titanochaeta	silvicola	Scaptomyza	neosilvicola	new comb	Ogrady_2003_PlacementTitanochaeta
Titanochaeta	swezeyi	Scaptomyza	swezeyi	new comb	Ogrady_2003_PlacementTitanochaeta
Titanochaeta	vittiger	Scaptomyza	vittigera	new comb	Ogrady_2003_PlacementTitanochaeta
Drosophila	canuta	Scaptomyza	canuta	new comb	MagnaccaOgrady_2008_NewCombinations
Drosophila	improcera	Scaptomyza	improcera	new comb	MagnaccaOgrady_2008_NewCombinations
Drosophila	magnipalpa	Scaptomyza	magnipalpa	new comb	MagnaccaOgrady_2008_NewCombinations
Drosophila	parva	Scaptomyza	parva	new comb	MagnaccaOgrady_2008_NewCombinations
Drosophila	prolixa	Scaptomyza	prolixa	new comb	MagnaccaOgrady_2008_NewCombinations
Drosophila	taractica	Scaptomyza	taractica	new comb	MagnaccaOgrady_2008_NewCombinations
Drosophila	totonigra	Scaptomyza	totonigra	new comb	MagnaccaOgrady_2008_NewCombinations
Drosophila	vinnula	Scaptomyza	vinnula	new comb	MagnaccaOgrady_2008_NewCombinations
Drosophila	attigua	Drosophila	sharpi	new comb	MagnaccaOgrady_2008_NewCombinations
Drosophila	nigra var iki	Drosophila	iki	new comb	Hardy_1965_InsectsOfHawaii
Drosophila	perkinsi	Scaptomyza	perkinsi	new comb	Hardy_1965_InsectsOfHawaii;Ogrady_2003_PlacementTitanochaeta
Drosophila	varifrons	Scaptomyza	varifrons	new comb	Hardy_1965_InsectsOfHawaii
Drosophila	exigua	Scaptomyza	exigua	new comb	Hardy_1965_InsectsOfHawaii
Drosophila	inaequalis	Scaptomyza	inaequalis	new comb	Hardy_1965_InsectsOfHawaii
Drosophila	monticola	Scaptomyza	monticola	new comb	Hardy_1965_InsectsOfHawaii
Drosophila	obscuricornis	Scaptomyza	obscuricornis	new comb	Hardy_1965_InsectsOfHawaii
Drosophila	obscurifrons	Scaptomyza	obscurifrons	new comb	Hardy_1965_InsectsOfHawaii
Drosophila	pusilla	Scaptomyza	pusilla	new comb	Hardy_1965_InsectsOfHawaii
Dettopsomyia	argentifrons	Dettopsomyia	nigrovittata	new synonym	Hardy_1965_InsectsOfHawaii
Drosophila	spinofemora	Drosophila	nasuta	new synonym	Hardy_1965_InsectsOfHawaii
Drosophila	lulumahu	Drosophila	punalua	new synonym	Hardy_1965_InsectsOfHawaii
Scaptomyza	cordigera	Scaptomyza	varifrons	new synonym	Hardy_1965_InsectsOfHawaii
Scaptomyza	hawaiiensis	Scaptomyza	inaequalis	new synonym	Hardy_1965_InsectsOfHawaii
Drosophila	mauiensis	Scaptomyza	mauiensis	new synonym	Hardy_1965_InsectsOfHawaii
Hypenomyia	varipennis	Drosophila	varipennis	new_synonym	Hardy_1965_InsectsOfHawaii
