subgenus	genus	species	genus author	species author	body_length	wing_length	body_and_wing_length	sex	type	length notes
	Drosophila	bostrycha	sensu lato	n sp	4.50-5.00	4.75-5.25		male		
	Drosophila	fasciculisetae	sensu lato	n sp	4.5	4.75		male		
	Drosophila	villosipedis	sensu lato	n sp	5	5.25		male		
	Drosophila	xuthoptera	sensu lato	n sp	4.0-4.5	5.0-5.4		male		
	Drosophila	disjuncta	sensu lato	n sp	6.5	6		male		
	Drosophila	spectabilis	sensu lato	n sp				male		
	Drosophila	adiastola	sensu lato	n sp	5.4	5.55		male		
	Drosophila	truncipenna	sensu lato	n sp	8.5	7.9		male		
	Drosophila	adventitia	sensu lato	n sp	4.4	4.75		male		
	Drosophila	albifacies	sensu lato	n sp	2.3	2.7		male		
	Drosophila	amydrospilota	sensu lato	n sp	3.75	3.9		male		
	Drosophila	anomalipes	sensu lato	Grimshaw	5.25	6		male		Grimshaw gave the length of the body as 4.5 mm. and the wings as 5.5 mm.
	Drosophila	anthrax	sensu lato	n sp			2.9-3.4	male		
	Drosophila	apicisetae	sensu lato	n sp	2.5	2.8		male		
	Drosophila	apoxyloma	sensu lato	n sp			3.2	male		
	Drosophila	artigena	sensu lato	n sp	3	3.75		male		
	Drosophila	attenuata	sensu lato	n sp	2.7	3		male		
	Drosophila	badia	sensu lato	n sp	3.2	3.6		male		
	Drosophila	balioptera	sensu lato	n sp	5.50-5.70	6.25		male		
	Drosophila	basisetosa	sensu lato	n sp	2.5	2.7		male		
	Drosophila	biseriata	sensu lato	n sp	2.9	3.1		male		
	Drosophila	brevissima	sensu lato	n sp	2.5	3		male		
	Drosophila	brevitarsus	sensu lato	n sp	2.15	2.5		male		
	Drosophila	bridwelli	sensu lato	n sp			3.7	male		
	Drosophila	brunneifrons	sensu lato	n sp	2.7	3		male		
	Drosophila	canuta	sensu lato	n sp	32	3.6		male		
	Drosophila	capitata	sensu lato	n sp	2.25	2.75		male		
	Drosophila	carnosa	sensu lato	n sp	2.3-2.4	2.7-2.8		male		
	Drosophila	chaetopeza	sensu lato	n sp	3	3.8		male		
	Drosophila	ciliaticrus	sensu lato	n sp	4.2-4.5	4.5-5.0		male		
	Drosophila	clavata	sensu lato	n sp	2.25	2.5		male		
	Drosophila	clavitibia	sensu lato	n sp	2.5	2.7		male		
	Drosophila	clydonia	sensu lato	n sp	2.5-3.0	3.0-3.3		male		
	Drosophila	cnecopleura	sensu lato	n sp	2.2	2.5		male		
	Drosophila	comatifemora	sensu lato	n sp	4.75	4.5		male		
	Drosophila	conformis	sensu lato	n sp	2.7-3.0	3.3-3.5		male		
	Drosophila	conjectura	sensu lato	n sp	2.3-2.5	2.6-2.8		male		
	Drosophila	conspicua	sensu lato	Grimshaw	5.5-6.0	6.5-7.0		male		Grimshaw, in the original description, measured the body as mm. and the wings as 6 mm.
	Drosophila	contorta	sensu lato	n sp	2.15	2.5		male		
	Drosophila	cracens	sensu lato	n sp	2.85	3.2		male		
	Drosophila	crassifemur	sensu lato	Grimshaw	3.5-4.5	3.8-4.6		male		
	Drosophila	crucigera	sensu lato	Grimshaw			3.10-4.75	male		This species is quite variable in size.
	Drosophila	curticilia	sensu lato	n sp	1.85	2		male		
	Drosophila	curvitibia	sensu lato	n sp	3.3	4		male		
	Drosophila	dasycnemia	sensu lato	n sp	2.5-2.8	3.0-3.5		male		
	Drosophila	deltaneuron	sensu lato	Bryan			3.7-4.0	male		
	Drosophila	denotata	sensu lato	n sp	3.7-4.2	4.0-4.3		male		
	Drosophila	diffusa	sensu lato	n sp	3.8	4.3		male		
	Drosophila	diminuens	sensu lato	n sp	4	4.7		male		
	Drosophila	dissita	sensu lato	n sp	3	3.4		male		
	Drosophila	disticha	sensu lato	n sp	2.5	2.85		male		
	Drosophila	distinguenda	sensu lato	n sp	6.5	6.7		male		
	Drosophila	dolomata	sensu lato	n sp	1.8	2.15		male		
	Drosophila	dorsigera	sensu lato	n sp			2.3	male		
	Drosophila	dorsociliata	sensu lato	n sp			2.5	male		
	Drosophila	dumalis	sensu lato	n sp	2.7	3		male		
	Drosophila	engyochracea	sensu lato	n sp	4.8	5.5		male		
	Drosophila	enoplotarsus	sensu lato	n sp			2.65	male		
	Drosophila	eumecothrix	sensu lato	n sp	2.85	2.95		male		
	Drosophila	expansa	sensu lato	n sp	2.5	2.85		male		
	Drosophila	fastigata	sensu lato	n sp				male		
	Drosophila	flavibasis	sensu lato	n sp	2.75	3.5		male		
	Drosophila	flaviceps	sensu lato	Grimshaw	2.5	2.5		male		
	Drosophila	furva	sensu lato	n sp	2.2	2.4		male		
	Drosophila	fuscoamoeba	sensu lato	Bryan			2.5-3.5	male		
	Drosophila	fuscoapex	sensu lato	n sp	2	2.4		male		
	Drosophila	gilvilateralis	sensu lato	n sp	3	3.3		male		
	Drosophila	grimshawi	sensu lato	Oldenberg			4.5-5.5	male		
	Drosophila	hawaiiensis	sensu lato	Grimshaw	3.5-4.5	3.8-4.75		male		
	Drosophila	hexachaetae	sensu lato	n sp	2.8	3.2		male		
	Drosophila	hirticoxa	sensu lato	n sp	2.85	3.2		male		
	Drosophila	hirtitarsus	sensu lato	n sp			2.3-2.7	male		
	Drosophila	iki	sensu lato	Bryan			3.75-4.00	male		
	Drosophila	illusiopolita	sensu lato	n sp	2.2-2.5	2.4-2.6		male		
	Drosophila	imitator	sensu lato	n sp	2.6	2.85		male		
	Drosophila	incognita	sensu lato	n sp	3	3.5		male		
	Drosophila	incompleta	sensu lato	n sp	3.2	3.6		male		
	Drosophila	insignita	sensu lato	n. sp,	2.5	2.65		male		
	Drosophila	intermedia	sensu lato	n sp	3	3.4		male		
	Drosophila	involuta	sensu lato	n sp	3.2	3.6		male		
	Drosophila	ischnotrix	sensu lato	n sp	1.75-2.50	2.00-2.30		male		
	Drosophila	joycei	sensu lato	n sp	3.8	4		male		
	Drosophila	kauluai	sensu lato	Bryan	2.8-3.0	3.3-3.5		male		
	Drosophila	kraussi	sensu lato	n sp			3.6	male		
	Drosophila	laciniosa	sensu lato	n sp				male		
	Drosophila	lanaiensis	sensu lato	Grimshaw			4.30-4.75	male		
	Drosophila	larifuga	sensu lato	n sp	2	2.25		male		
	Drosophila	latigena	sensu lato	n sp			2.75	male		
	Drosophila	lemniscata	sensu lato	n sp	3.0-3.2	3.7		male		
	Drosophila	luteola	sensu lato	n sp			2.5	male		
	Drosophila	macrochaetae	sensu lato	n sp	4.5	4.75		male		
	Drosophila	magnipalpa	sensu lato	n sp			2.8-3.0	male		
	Drosophila	mecocnemia	sensu lato	n. sp,	3.2-3.4	3.4-3.6		male		
	Drosophila	megasticta	sensu lato	n sp	3	3.7		male		
	Drosophila	melanopedis	sensu lato	n sp			2.75-2.85	male		
	Drosophila	mimiconformis	sensu lato	n sp			2.65-2.85	male		
