island	group	genus	species	16S	COI	COII	ND2	28S	Adh	cadR	Gpdh	GstD1	Marf2	l(2)not
	Hemiscaptomyza	Scaptomyza	hsui	KC609626	KC609729	KC609687				KC609594			KC609480	KC609565
	Hemiscaptomyza	Scaptomyza	okadai	LC061487	LC061498	LC061509	LC061520	LC061531	LC061646	LC061873	LC061657		LC061894	LC061885
	Parascaptomyza	Scaptomyza	elmoi_HW			HQ170735								
	Parascaptomyza	Scaptomyza	elmoi_JP	LC061482	LC061493	LC061504	LC061515	LC061526	LC061642	LC061869	LC061652			LC061880
	Parascaptomyza	Scaptomyza	frustulifera				EU493549							
	Parascaptomyza	Scaptomyza	himalayana	LC061486	LC061497	LC061508	LC061519	LC061530	LC061645	LC061872	LC061656		LC061893	LC061884
	Parascaptomyza	Scaptomyza	pallida_NA	KC609622	JX160023	HQ110571	KC609645			JX160019		KC609533	JX160037	KC609560
	Parascaptomyza	Scaptomyza	pallida_JP	LC061488	LC061499	LC061510	LC061521	LC061532	LC061647	LC061874	LC061658	LC061876		LC061886
Hawaii	Rosenwaldia	Scaptomyza	abrupta	KC609618	KC609723	KC609678				KC609590			KC609521	
Hawaii	Rosenwaldia	Scaptomyza	nr_mitchelli	KC609619	KC609724	KC609679	KC609642			KC609591			KC609522	
	Scaptomyza	Scaptomyza	baechlii	LC061479	LC061490	LC061501	LC061512	LC061523	LC061639		LC061649		LC061888	LC061877
	Scaptomyza	Scaptomyza	consimilis	LC061481	LC061492	LC061503	LC061514	LC061525	LC061641	LC061868	LC061651		LC061890	LC061879
	Scaptomyza	Scaptomyza	flava_NA	KC609621	JX160022		KC609644			JX160018		KC609532	JX160036	KC609559
	Scaptomyza	Scaptomyza	flava_NZ	KC609599	HQ170855	HQ170738						KC609527	KC609486	
	Scaptomyza	Scaptomyza	graminum	LC061483	LC061494	LC061505	LC061516	LC061527	LC061643	LC061870	LC061653		LC061891	LC061881
	Scaptomyza	Scaptomyza	nigrita	KC609624	JX160025	JX160029	KC609647			JX160021		KC609535	JX160039	KC609562
	Scaptomyza	Scaptomyza	polygonia	LC061489	LC061500	LC061511	LC061522	LC061533	LC061648		LC061659		LC061895	LC061887
	Siphlodora	Drosophila	hydei		JQ679112	EU493736	DQ471529	HQ110530	X58694		L41650			
	Siphlodora	Drosophila	mojavensis	BK006339	BK006339	BK006339	BK006339	CH934023	XM_002002893	XM_002009405	XM_002002668	XM_002000706	XM_002009489	XM_002004145
	Siphlodora	Drosophila	virilis	BK006340	BK006340	BK006340	BK006340	HQ110543	XM_002057548	XM_002055577	XM_002051332	XM_002054301	XM_002057373	XM_002059275
Hawaii	Tantalia	Scaptomyza	albovittata		KC609725	KC609680			M80925	KC609592			KC609523	
Hawaii	Tantalia	Scaptomyza	varipicta	HQ171051	HQ170860	HQ170745	KC609628			KC609568		KC609526	KC609484	KC609539
Hawaii	Titanochaeta	Scaptomyza	bryani	KC609620	KC609726	KC609681						KC609531	KC609524	KC609558
Hawaii	Titanochaeta	Scaptomyza	chauliodon			KC609684								
Hawaii	Titanochaeta	Scaptomyza	magnipalpa	HQ171048	HQ170857	HQ170740	HQ170947			KC609566			KC609481	KC609537
Hawaii	Titanochaeta	Scaptomyza	neosilvicola		HQ170858		KC609629			KC609569			KC609485	
Hawaii	Titanochaeta	Scaptomyza	setosiscutellum		KC609727	KC609682	KC609643			KC609593			KC609525	
