subgenus	genus	species	N	EL	EW	anterior_filament_length	posterior_filament_length	posterior_filament_percent_of_egg_length	thorax_percent_of_egg_length	oviposition_behavior_type	TL	ON	mature_eggs_per_ovarioles	notes
	Drosophila	punalua	10							8	2.3 ± 0.136	34 ± 3.267	1	
Engioscaptomyza	Drosophila	reducta	4								1.68 ± 0.15	5.33 ± 1.11	0.2	
	Drosophila	sejuncta	21	0.97 ± 0.021	0.26 ± 0.023	0.86 ± 0.042	3.8 ± 0.112	3.9	2.5	4				
	Drosophila	sejuncta	7							14	2.24 ± 0.212	56.83 ± 5.895	1-3	
	Drosophila	setosimentum	24	0.86 ± 0.021	0.23 ± 0.004	0.65 ± 0.052	0.79 ± 0.021	0.9	2.5	2				
	Drosophila	setosimentum	33							9	2.13 ± 0.086	35.61 ± 3.889	1	
	Drosophila	silvestris	13								3.16 ± 0.129	52.38 ± 2.672	1-3	
	Drosophila	silvestris	36	0.94 ± 0.03	0.25 ± 0.015	1.41 ± 0.191	1.78 ± 0.151	1.9	3.4	4				
	Drosophila	sproati	24	0.87 ± 0.02	0.19 ± 0.008	0.96 ± 0.071	2.36 ± 0.132	2.8	3.2	4				
	Drosophila	sproati	42							12	2.78 ± 0.149	65.55 ± 5.929	1-3	
Exalloscaptomyza	Scaptomyza	throckmortoni	15	0.73 ± 0.034	0.28 ± 0.014				1.2	1				No filaments present
Exalloscaptomyza	Scaptomyza	throckmortoni	29							1	0.84 ± 0.059	4.07 ± 0.253	0.25	
	Drosophila	trichetosa	9							2	1.35 ± 0.096	10.33 ± 1.632	0.22	
	Drosophila	truncipenna	25	0.96 ± 0.035	0.25 ± 0.09	0.52 ± 0.041	0.68 ± 0.063	0.7	3.3	2				
	Drosophila	truncipenna	6								3.22 ± 0.129	48 ± 4.896	1	
Engioscaptomyza	Drosophila	undulata	6								2 ± 0.078	2 ± 0	0.5	
Engioscaptomyza	Scaptomyza	undulata	15	1.02 ± 0.023	0.71 ± 0.015				1.9	1				No filaments present
	Drosophila	villosipedis	30	0.87 ± 0.028	0.22 ± 0.006	1.06 ± 0.113	2.34 ± 0.095	2.8	2.5	4				
	Drosophila	villosipedis	6								2.09 ± 0.144	47 ± 3.633	1-2	
	Antopocerus	villosus	30	1.66 ± 0.063	0.47 ± 0.017	1.31 ± 0.062	1.39 ± 0.075	0.8	1.7	2				
	Antopocerus	villosus	5								2.92 ± 0.087	8.4 ± 0.456	0.5	
