genus	subgenus	group	species	host_group	host_family	host_genus	host_species	substrate	records	individuals	island	references	notes
Drosophila		ateledrosophila	papala	seed plants	Amaranthaceae	Charpentiera	obovata	bark	3	64	H	24	
Drosophila		dissita	dissita	seed plants	Amaranthaceae	Charpentiera	obovata	bark	2	13	H	24	
Drosophila		dissita	dissita_Oahu	seed plants	Amaranthaceae	Charpentiera		stem	1	19	O	24	
Drosophila		fuscoamoeba	fuscoamoeba	seed plants	Amaranthaceae	Charpentiera		stem	1	1	O	24	
Drosophila		grimshawi	paucipuncta	seed plants	Amaranthaceae	Charpentiera	obovata	bark	1	1	H	24	
Drosophila		grimshawi	inedita	seed plants	Amaranthaceae	Charpentiera		bark, stem	2	4	O	15	
Drosophila		grimshawi	pisonia	seed plants	Amaranthaceae	Charpentiera		stem	1	2	H	15	
Drosophila		grimshawi	tarphytrichia	seed plants	Amaranthaceae	Charpentiera		stem	2	3	O	15	
Drosophila		grimshawi	hexachaetae	seed plants	Amaranthaceae	Charpentiera		stem	3	4	O	15	
Drosophila		grimshawi	grimshawi	seed plants	Amaranthaceae	Charpentiera		stem	3	10	M,Mo,L	15	
Drosophila		grimshawi	crucigera	seed plants	Amaranthaceae	Charpentiera		stem	4	21	O	15	
Drosophila		grimshawi	macrothrix	seed plants	Amaranthaceae	Charpentiera	obovata	stem	1	30	H	15	
Drosophila		grimshawi	digressa	seed plants	Amaranthaceae	Charpentiera	obovata	stem	2	44	H	15	
Drosophila		grimshawi	virgulata	seed plants	Amaranthaceae	Charpentiera		stem	2	75	M	15	
Drosophila		hirtitibia	konaensis	seed plants	Amaranthaceae	Charpentiera	obovata	bark	2	8	H	23	
Drosophila		mimica	xenophaga	seed plants	Amaranthaceae	Charpentiera		leaf	1	1	H	22	
Drosophila		mimica	xenophaga	seed plants	Amaranthaceae	Charpentiera	obovata	leaf	2	3	H	24	
Drosophila		nanella	dolomata	seed plants	Amaranthaceae	Charpentiera		stem	1	1	O	24	
Drosophila		nudidrosophila	amita	seed plants	Amaranthaceae	Charpentiera	obovata	bark	1	6	H	23	
Drosophila		nudidrosophila	canavalia	seed plants	Amaranthaceae	Charpentiera	obovata	bark	1	8	H	23	
Drosophila		nudidrosophila	poonia	seed plants	Amaranthaceae	Charpentiera		stem	1	2	K	23	
Drosophila		quadrisetae	J17_J28	seed plants	Amaranthaceae	Charpentiera	obovata	leaf	2	3	H	24	
Drosophila		quadrisetae	ischnotrix	seed plants	Amaranthaceae	Charpentiera		stem	2	12	O	24	
Drosophila		velata	milolii	seed plants	Amaranthaceae	Charpentiera		stem	1	2	K	23	
Scaptomyza	Elmomyza		cryptoloba	seed plants	Amaranthaceae	Charpentiera		leaf, frass	1	NA	O	8	
Drosophila		grimshawi	crucigera	seed plants	Apocynaceae	Pteralyxia		fruit	1	14	O	15	
Drosophila		mimica	kauluai	seed plants	Apocynaceae	Pteralyxia		fruit	1	1	O	22	
Drosophila		antopocerus	entrichocnemia	seed plants	Aquifoliaceae	Ilex	anomala	leaf	1	1	M	12	
Drosophila		antopocerus	cognata	seed plants	Aquifoliaceae	Ilex	anomala	leaf	5	32	H	12	
Drosophila		bristle tarsus	bicondyla	seed plants	Aquifoliaceae	Ilex	anomala	leaf	1	1	H	12	
Drosophila		bristle tarsus	torula	seed plants	Aquifoliaceae	Ilex	anomala	leaf	1	1	M	12	
Drosophila		bristle tarsus	brunneisetae	seed plants	Aquifoliaceae	Ilex	anomala	leaf	1	2	M	12	
Drosophila		bristle tarsus	G33	seed plants	Aquifoliaceae	Ilex	anomala	leaf	1	3	L	12	n. sp. also with briste tarsi in 12
Drosophila		bristle tarsus	spicula	seed plants	Aquifoliaceae	Ilex	anomala	leaf	1	5	H	12	
Drosophila		ciliated tarsus	sp_3	seed plants	Aquifoliaceae	Ilex	anomala	bark	3	7	H	24	
Drosophila		grimshawi	crucigera	seed plants	Aquifoliaceae	Ilex	anomala	bark	2	3	O	15	
Drosophila		grimshawi	gradata	seed plants	Aquifoliaceae	Ilex	anomala	bark, flux	1	1	O	15	
Drosophila		spoon tarsus	mimiconformis	seed plants	Aquifoliaceae	Ilex	anomala	leaf	1	1	M	12	
Drosophila		spoon tarsus	conformis	seed plants	Aquifoliaceae	Ilex	anomala	leaf	6	27	H	12	
Drosophila		spoon tarsus	sordidapex	seed plants	Aquifoliaceae	Ilex	anomala	leaf	6	50	H	12	
Drosophila		unplaced modified tarsus	G87	seed plants	Aquifoliaceae	Ilex	anomala	fruit	1	2	H	12	n. sp. fusticula type in 12
Drosophila		unplaced modified tarsus	mimiconfutata	seed plants	Aquifoliaceae	Ilex	anomala	leaf	2	9	O	12	
Drosophila		unplaced modified tarsus	unicula	seed plants	Aquifoliaceae	Ilex	anomala	leaf	3	12	H	12	
Drosophila		unplaced modified tarsus	G89	seed plants	Aquifoliaceae	Ilex	anomala	stem	1	4	H	12	n. sp. nr. confutata in 12
Drosophila		adiastola	setosimentum	seed plants	Araliaceae	Tetraplasandra	oahuensis	bark	1	1	H	24	
Drosophila		adiastola	setosimentum	seed plants	Araliaceae	Cheirodendron	trigynum	bark	1	2	H	15	
Drosophila		adiastola	setosimentum	seed plants	Araliaceae	Cheirodendron	trigynum	bark	2	3	H	15,24	
Drosophila		antopocerus	tanythrix	seed plants	Araliaceae	Tetraplasandra		leaf	1	1	H	12	
Drosophila		antopocerus	J41	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	1	2	Mo	12	
Drosophila		antopocerus	arcuata	seed plants	Araliaceae	Cheirodendron		leaf	1	3	O	12	
Drosophila		antopocerus	orthoptera	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	4	4	M	12	
Drosophila		antopocerus	J99	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	1	5	M	12	
Drosophila		antopocerus	cognata	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	3	6	H	12	
Drosophila		antopocerus	diamphidiopoda	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	8	18	M,Mo	12	
Drosophila		antopocerus	yooni	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	2	24	H	12,16,18	
Drosophila		antopocerus	adunca	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	10	32	M	12	
Drosophila		antopocerus	tanythrix	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	10	1013	H	12,18	
Drosophila		antopocerus	curvata	seed plants	Araliaceae	Tetraplasandra		leaf	1	NA	NA	24	
Drosophila		antopocerus	longiseta	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	1	NA	Mo	12	
Drosophila		bristle tarsus	expansa	seed plants	Araliaceae	Tetraplasandra		leaf	1	1	M	12	
Drosophila		bristle tarsus	HH15	seed plants	Araliaceae	Cheirodendron		leaf	1	2	M	12	n. sp. rel. petalopeza in 12
Drosophila		bristle tarsus	J7a	seed plants	Araliaceae	Tetraplasandra		leaf	1	2	K	12	n. sp. rel. perissopoda in 12
Drosophila		bristle tarsus	perissopoda	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	1	2	K	12	
Drosophila		bristle tarsus	perissopoda	seed plants	Araliaceae	Tetraplasandra		leaf	1	2	K	12	
Drosophila		bristle tarsus	basimacula	seed plants	Araliaceae	Cheirodendron	platyphyllum	leaf	1	3	K	12	
Drosophila		bristle tarsus	J8	seed plants	Araliaceae	Cheirodendron		leaf	1	3	K	12	n. sp. rel. perissopoda in 12
Drosophila		bristle tarsus	redunca	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	1	4	M	12	
Drosophila		bristle tarsus	seclusa	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	5	11	M	12	
Drosophila		bristle tarsus	petalopeza	seed plants	Araliaceae	Cheirodendron	trigynum	leaf	4	14	M	12	
