genus	subgenus	group	species	host_group	host_family	host_genus	host_species	substrate	records	individuals	island	references	notes
Drosophila		ciliated tarsus	sadleria	fern	Blechnaceae	Sadleria		rachis	1	1	O	4	
Drosophila		dissita	dissita	seed plants	Campanulaceae	Clermontia		bark	1	1	H	24	
Drosophila		adiastola	neogrimshawi	seed plants	Campanulaceae	Clermontia		bark	1	3	O	15	
Drosophila		adiastola	setosimentum	seed plants	Campanulaceae	Clermontia	parviflora	bark	3	3	H	24	
Drosophila		adiastola	setosimentum	seed plants	Campanulaceae	Clermontia		bark, stem	6	many	H	12,15	
Drosophila		adiastola	adiastola	seed plants	Campanulaceae	Clermontia		bark, stem, root	16	172	M,L	12,15	
Drosophila		adiastola	cilifera	seed plants	Campanulaceae	Clermontia		branch	1	2	Mo	12	
Drosophila		adiastola	cilifera	seed plants	Campanulaceae	Cyanea		flower	1	2	Mo	12	
Drosophila		adiastola	adiastola	seed plants	Campanulaceae	Cyanea		flower	1	NA	M	12	
Drosophila		adiastola	adiastola	seed plants	Campanulaceae	Cyanea		fruit	1	3	M	12	
Drosophila		adiastola	adiastola	seed plants	Campanulaceae	Clermontia		fruit	1	6	M	12	
Drosophila		adiastola	adiastola	seed plants	Campanulaceae	Clermontia		leaf	2	6	M	12	
Drosophila		adiastola	setosimentum	seed plants	Campanulaceae	Clermontia		leaf, fruit, flower	2	2	H	12	
Drosophila		adiastola	ochrobasis	seed plants	Campanulaceae	Clermontia		root	1	15	H	15	
Drosophila		adiastola	paenehamifera	seed plants	Campanulaceae	Cyanea		stem	1	2	M	15	
Drosophila		adiastola	adiastola	seed plants	Campanulaceae	Lobelia	grayanum	stem	1	4	M	15	
Drosophila		adiastola	ornata	seed plants	Campanulaceae	Cyanea		stem	2	11	K	15	
Drosophila		adiastola	adiastola	seed plants	Campanulaceae	Cyanea		stem	2	19	M	15	
Drosophila		adiastola	clavisetae	seed plants	Campanulaceae	Clermontia	arborescens	stem	8	27	M	12	
Drosophila		ceratostoma	humeralis	seed plants	Campanulaceae	Clermonita		fruit	1	2	K	12	
Drosophila		ceratostoma	humeralis	seed plants	Campanulaceae	Clermontia		stem	3	7	K	12,24	n. sp. pattern wing, thorax in 12
Drosophila		ciliated tarsus	orestes	seed plants	Campanulaceae	Cyanea	stictophylla	leaf	1	1	H	24	
Drosophila		ciliated tarsus	setipalpus	seed plants	Campanulaceae	Lobelia		leaf	1	4	M	12	
Drosophila		ciliated tarsus	orestes	seed plants	Campanulaceae	Cyanea	tritomantha	leaf	1	9	H	24	
Drosophila		ciliated tarsus	fusticula	seed plants	Campanulaceae	Clermontia	arborescens	leaf	4	18	M	12	
Drosophila		ciliated tarsus	orestes	seed plants	Campanulaceae	Clermontia		leaf, fruit	1	3	H	12	
Drosophila		ciliated tarsus	orestes	seed plants	Campanulaceae	Clermonita		stem	1	1	H	12	
Drosophila		dissita	Q88	seed plants	Campanulaceae	Clermontia	clermontioides	bark	2	5	H	24	
Drosophila		dissita	dissita_Maui	seed plants	Campanulaceae	Clermontia		bark	1	12	M	24	
Drosophila		dissita	vicaria	seed plants	Campanulaceae	Clermontia		fruit	1	2	M	12	
Drosophila		dissita	amydrospilota	seed plants	Campanulaceae	Clermontia	arborescens	leaf, stem	2	11	M	12	
Drosophila		dissita	eumecothrix	seed plants	Campanulaceae	Lobelia		stem	1	1	M	24	
Drosophila		dissita	P59B	seed plants	Campanulaceae	Cyanea		stem	1	2	K	24	
Drosophila		dissita	brevissima	seed plants	Campanulaceae	Clermontia		stem	1	3	M	24	
Drosophila		grimshawi	murphyi	seed plants	Campanulaceae	Clermontia		bark	1	1	H	15	
Drosophila		grimshawi	crucigera	seed plants	Campanulaceae	Clermontia		bark	1	3	O	15	
Drosophila		grimshawi	murphyi	seed plants	Campanulaceae	Clermontia	clermontioides	bark	1	4	H	24	
Drosophila		grimshawi	disjuncta	seed plants	Campanulaceae	Clermontia		bark	1	5	M	15	
Drosophila		grimshawi	grimshawi	seed plants	Campanulaceae	Clermontia		bark, stem	4	9	M	12,15	
Drosophila		grimshawi	crucigera	seed plants	Campanulaceae	Cyanea		stem	1	1	O	15	
Drosophila		grimshawi	limitata	seed plants	Campanulaceae	Clermontia		stem	2	2	M	15	
Drosophila		grimshawi	villosipedis	seed plants	Campanulaceae	Cyanea		stem	1	10	K	15	
Drosophila		mimica	chaetopeza	seed plants	Campanulaceae	Clermontia	clermontioides	bark	1	8	H	24	
Drosophila		mimica	infuscata	seed plants	Campanulaceae	Clermontia		bark, stem	3	22	H	12	
Drosophila		mimica	involuta	seed plants	Campanulaceae	Clermontia		flower	1	1	H	24	
Drosophila		mimica	involuta	seed plants	Campanulaceae	Clermontia		fruit	1	1	H	12,22	
Drosophila		mimica	chaetopeza	seed plants	Campanulaceae	Clermontia		fruit	1	2	H	12	
Drosophila		mimica	chimera	seed plants	Campanulaceae	Clermontia		leaf	1	1	O	22	
Drosophila		mimica	kambysellisi	seed plants	Campanulaceae	Clermontia		leaf	1	2	H	17	
Drosophila		okala	okala	seed plants	Campanulaceae	Clermontia		stem	1	19	H	23	
Drosophila		planitibia	hemipeza	seed plants	Campanulaceae	Cyanea	angustifolia	bark	1	5	O	15	
Drosophila		planitibia	silvestris	seed plants	Campanulaceae	Clermontia	clermontioides	bark	4	5	H	24	
Drosophila		planitibia	heteroneura	seed plants	Campanulaceae	Clermontia	clermontioides	bark	7	27	H	24	
Drosophila		planitibia	silvestris	seed plants	Campanulaceae	Clermontia		bark	3	101	H	15	
Drosophila		planitibia	heteroneura	seed plants	Campanulaceae	Clermontia		branch	4	21	H	12,15	
Drosophila		planitibia	planitibia	seed plants	Campanulaceae	Clermontia		branch	8	30	M	12,15	
Drosophila		planitibia	differens	seed plants	Campanulaceae	Clermontia		stem	1	1	Mo	14,15	sp. nr. planitibia in 15
Drosophila		planitibia	silvestris	seed plants	Campanulaceae	Cyanea		stem	1	1	H	15	
Drosophila		planitibia	planitibia	seed plants	Campanulaceae	Cyanea		stem	1	2	M	15	
Drosophila		planitibia	hemipeza	seed plants	Campanulaceae	Lobelia	yuccoides	stem	1	3	O	15	
Drosophila		planitibia	planitibia	seed plants	Campanulaceae	Lobelia	grayanum	stem	1	8	M	15	
Drosophila		quadrisetae	G41	seed plants	Campanulaceae	Clermontia	clermontioides	bark	1	1	H	24	
Drosophila		quadrisetae	residua	seed plants	Campanulaceae	Clermontia	lindseyana	bark	1	14	H	24	
Drosophila		quadrisetae	G41	seed plants	Campanulaceae	Clermontia	parviflora	bark	2	24	H	24	
Drosophila		quadrisetae	quadrisetae	seed plants	Campanulaceae	Clermontia		branch	1	1	K	12	
Drosophila		quadrisetae	tendomentum	seed plants	Campanulaceae	Clermontia		fruit	1	6	H	12	
Drosophila		quadrisetae	quadrisetae	seed plants	Campanulaceae	Clermontia		fruit, flower	2	27	K	12	
Drosophila		quadrisetae	tendomentum	seed plants	Campanulaceae	Clermontia		leaf	1	2	H	12	
Drosophila		quadrisetae	quadrisetae	seed plants	Campanulaceae	Clermontia		leaf	1	11	K	12	
Drosophila		quadrisetae	G41	seed plants	Campanulaceae	Cyanea	tritomantha	leaf	1	24	H	24	
Drosophila		quadrisetae	G41	seed plants	Campanulaceae	Clermontia		leaf, stem	1	2	M	12	n. sp. nr. laciniosa in 12
Drosophila		quadrisetae	G41	seed plants	Campanulaceae	Clermontia		leaf, stem	2	6	H	12,24	n. sp. rel. biseriata in 12
Drosophila		quadrisetae	P84B	seed plants	Campanulaceae	Lobelia		stem	1	5	M	24	
Drosophila		quadrisetae	tendomentum	seed plants	Campanulaceae	Clermontia		stem	2	17	H	12	
Drosophila		split tarsus	chaetocephala	seed plants	Campanulaceae	Cyanea		bark	1	2	O	24	
Drosophila		split tarsus	chaetocephala	seed plants	Campanulaceae	Clermontia		leaf	1	14	O	19	
Drosophila		spoon tarsus	percnosoma	seed plants	Campanulaceae	Clermontia		leaf	1	1	M	12	
Drosophila		spoon tarsus	waddingtoni	seed plants	Campanulaceae	Clermontia		leaf	1	1	H	12	
Drosophila		spoon tarsus	G30_G34_G51_G80a_J98	seed plants	Campanulaceae	Clermontia		leaf	5	57	M	12	n. sp. #5 nr. mimiconformis in 12
Drosophila		spoon tarsus	G87b	seed plants	Campanulaceae	Clermontia		leaf, fruit, flower	1	2	H	12	n. sp. nr. neutralis in 12
Drosophila		spoon tarsus	waddingtoni	seed plants	Campanulaceae	Clermonita		stem	1	1	L	12	
Drosophila		unplaced modified mouthpart	umiumi	seed plants	Campanulaceae	Clermontia		bark	1	4	H	24	
Drosophila		unplaced modified mouthpart	barbata	seed plants	Campanulaceae	Clermontia		bark	4	13	H	24	
Scaptomyza	Elmomyza		hackmani	seed plants	Campanulaceae	Clermontia	parviflora	bark	1	1	H	24	
Scaptomyza	Elmomyza		sp_1	seed plants	Campanulaceae	Clermontia	lindseyana	bark	1	1	H	24	
Scaptomyza	Elmomyza		inaequalis	seed plants	Campanulaceae	Clermontia	clermontioides	bark	2	2	H	24	
Scaptomyza	Elmomyza		scoloplichas	seed plants	Campanulaceae	Clermontia	parviflora	bark	2	4	H		
Scaptomyza	Elmomyza		sp_1	seed plants	Campanulaceae	Clermontia	parviflora	bark	2	7	H	24	
Scaptomyza	Elmomyza		exigua	seed plants	Campanulaceae	Clermontia	montis-loa	bark	1	8	H	24	
Scaptomyza	Elmomyza		exigua	seed plants	Campanulaceae	Clermontia		bark	1	10	H	24	
Scaptomyza	Elmomyza		exigua	seed plants	Campanulaceae	Clermontia	lindseyana	bark	1	13	H	24	
Scaptomyza	Elmomyza		sp_1	seed plants	Campanulaceae	Clermontia	montis-loa	bark	1	14	H	24	
Scaptomyza	Elmomyza		exigua	seed plants	Campanulaceae	Clermontia	parviflora	bark	4	63	H	24	
Scaptomyza	Elmomyza		hackmani	seed plants	Campanulaceae	Clermontia	clermontioides	flower	1	1	H	24	
Scaptomyza	Elmomyza		tumidula	seed plants	Campanulaceae	Clermontia	clermontioides	flower	2	4	H	24	
Scaptomyza	Elmomyza		intricata	seed plants	Campanulaceae	Clermontia		flower	1	8	M	12	
Scaptomyza	Elmomyza		exigua	seed plants	Campanulaceae	Clermontia	clermontioides	flower	2	12	H	24	
Scaptomyza	Elmomyza		varia	seed plants	Campanulaceae	Lobelia		flower	1	34	K	12	
Scaptomyza	Elmomyza		sp_1	seed plants	Campanulaceae	Clermontia	clermontioides	flower	2	35	H	12	
Scaptomyza	Elmomyza		G87_G90	seed plants	Campanulaceae	Lobelia	gloria-montis	flower	1	many	M	12	n. sp. rel. exigua in 12
Scaptomyza	Tantalia		nr_nigrosignata	seed plants	Campanulaceae	Clermontia	oblongifoliav	fruit	1	1	O	24	
Scaptomyza	Elmomyza		varia	seed plants	Campanulaceae	Clermontia		fruit	1	15	K	12	
Scaptomyza	Elmomyza		intricata	seed plants	Campanulaceae	Clermontia		fruit	2	23	M	12	
Scaptomyza	Elmomyza		G87_G90	seed plants	Campanulaceae	Clermontia		fruit	2	85	H	12	n. sp. rel. exigua in 12,2 from a sample which also had flowers and leaves
Scaptomyza	Elmomyza		exigua	seed plants	Campanulaceae	Clermontia	hawaiiensis	fruit, flower	1	1	H	24	
Scaptomyza	Elmomyza		sp_1	seed plants	Campanulaceae	Clermontia	hawaiiensis	fruit, flower	2	10	H	24	
Scaptomyza	Elmomyza		platyrhina	seed plants	Campanulaceae	Clermontia		fruit, flower	2	30	K	12	
Scaptomyza	Elmomyza		exigua	seed plants	Campanulaceae	Clermontia	clermontioides	leaf	1	1	H	24	
Scaptomyza	Tantalia		flavida	seed plants	Campanulaceae	Clermontia		leaf	1	1	H	12	
Scaptomyza	Elmomyza		sp_1	seed plants	Campanulaceae	Cyanea	marksii	leaf	1	1	H	24	
Scaptomyza	Tantalia		varipicta	seed plants	Campanulaceae	Clermontia	sp	leaf	1	1	K	12	
Scaptomyza	Tantalia		gilvivirilia	seed plants	Campanulaceae	Clermontia	arborescens	leaf	1	2	M	12	
Scaptomyza	Elmomyza		tumidula	seed plants	Campanulaceae	Cyanea	marksii	leaf	1	2	H	24	
Scaptomyza	Tantalia		nigrosignata	seed plants	Campanulaceae	Cyanea	tritomantha	leaf	1	3	H	24	
Scaptomyza	Elmomyza		G90	seed plants	Campanulaceae	Clermontia		leaf	1	4	H	12	n. sp. rel. intricata in 12
Scaptomyza	Elmomyza		hackmani	seed plants	Campanulaceae	Clermontia	lindseyana	leaf	2	4	H	24	
Scaptomyza	Elmomyza		inaequalis	seed plants	Campanulaceae	Clermontia		leaf	1	4	H	24	
Scaptomyza	Elmomyza		sp_1	seed plants	Campanulaceae	Clermontia		leaf	1	4	H	24	
Scaptomyza	Elmomyza		exigua	seed plants	Campanulaceae	Clermontia	lindseyana	leaf	3	5	H	24	
Scaptomyza	Elmomyza		G56	seed plants	Campanulaceae	Clermontia		leaf	1	6	O	12	n. sp. close to affinicuspidata in 12
Scaptomyza	Elmomyza		hackmani	seed plants	Campanulaceae	Clermontia		leaf	2	6	H	12,24	
Scaptomyza	Elmomyza		exigua	seed plants	Campanulaceae	Clermontia		leaf	1	9	H	24	
Scaptomyza	Elmomyza		cryptoloba	seed plants	Campanulaceae	Clermontia		leaf	1	15	H	24	
Scaptomyza	Elmomyza		intricata	seed plants	Campanulaceae	Clermontia		leaf	1	many	M	12	
Scaptomyza	Elmomyza		tumidula	seed plants	Campanulaceae	Clermontia	clermontioides	leaf, fruit	1	1	H	24	
Scaptomyza	Elmomyza		sp_1	seed plants	Campanulaceae	Clermontia	clermontioides	leaf, fruit	3	7	H	24	
Scaptomyza	Elmomyza		intricata	seed plants	Campanulaceae	Clermontia		leaf, stem	2	7	M	12	
Scaptomyza	Elmomyza		affinicuspidata	seed plants	Campanulaceae	Lobelia	gloria-montis	NA	1	many	M	12	substrate not recorded
Scaptomyza	Elmomyza		scoloplichas	seed plants	Campanulaceae	Clermontia		stem	1	9	H	12	
Scaptomyza	Exalloscaptomyza		mauiensis	seed plants	Convolvulaceae	Ipomoea	alha	flower	1	2	M	12	
Scaptomyza	Exalloscaptomyza		mauiensis	seed plants	Convolvulaceae	Ipomoea		flower	2	7	M	10,12	
Scaptomyza	Exalloscaptomyza		throckmortoni	seed plants	Convolvulaceae	Ipomoea		flower	1	37	K	10	collected on flowers, not reared
Scaptomyza	Exalloscaptomyza		oahuensis	seed plants	Convolvulaceae	Ipomoea		flower	4	100	O	10,12	collected on flowers, not reared
Scaptomyza	Exalloscaptomyza		caliginosa	seed plants	Convolvulaceae	Ipomoea		flower	5	250	H	10	collected on flowers, not reared
Drosophila		bristle tarsus	perissopoda	seed plants	Corynocarpaceae	Corynocarpus	laevigatus	leaf	1	3	K	24	
Drosophila		dissita	dissita_Kauai	seed plants	Corynocarpaceae	Corynocarpus	laevigatus	fruit	1	18	K	12	grouped with D. dissita in 12 (as J7G)
Drosophila		grimshawi	crucigera	seed plants	Corynocarpaceae	Corynocarpus	laevigatus	fruit	1	2	K	12	
Drosophila		mimica	antecedens	seed plants	Corynocarpaceae	Corynocarpus	laevigatus	leaf	1	6	K	12,22	
Drosophila		mimica	flavibasis	seed plants	Corynocarpaceae	Corynocarpus	laevigatus	leaf	1	NA	K	17	
Drosophila		quadrisetae	quadrisetae	seed plants	Corynocarpaceae	Corynocarpus	laevigatus	fruit	1	2	K	12	
Scaptomyza	Elmomyza		apiciguttula	seed plants	Cucurbitaceae	Sicyos	macrophyllus	fruit	1	1	H	24	
Drosophila		planitibia	heteroneura	seed plants	Campanulaceae	Delissea	undulata	stem	1	3	H	15	
Drosophila		adiastola	setosimentum	fern	Dicksoniaceae	Cibotium		frond	1	1	H	15	
Drosophila		quadrisetae	tendomentum	fern	Dryopteridaceae	Dryopteris		rachis	1	1	H	24	
Scaptomyza	Elmomyza		argentifrons	seed plants	Elaeocarpaceae	Elaeocarpus	bifidus	fruit	1	43	O	24	
Drosophila		dissita	larifuga	seed plants	Euphorbiaceae	Chamaesyce		bark	1	1	O	24	
Drosophila		dissita	P77B	seed plants	Euphorbiaceae	Chamaesyce		bark	1	1	O	24	
Drosophila		dissita	P72_P77A	seed plants	Euphorbiaceae	Chamaesyce		bark	1	8	O	24	
Drosophila		grimshawi	crucigera	seed plants	Euphorbiaceae	Chamaesyce		bark	1	3	O	15	
Drosophila		grimshawi	villosipedis	seed plants	Euphorbiaceae	Euphorbia	haeleeleana	bark	1	14	K	15	
Drosophila		grimshawi	crucigera	seed plants	Euphorbiaceae	Aleurites	moluccana	fruit	2	4	O	12,15	
Drosophila		nudidrosophila	aenicta	seed plants	Euphorbiaceae	Chamaesyce		bark	1	5	O	23	
Drosophila		nudidrosophila	mahui	seed plants	Euphorbiaceae	Claoxylon	sandwicense	bark	1	5	H	23	
Drosophila		nudidrosophila	amita	seed plants	Euphorbiaceae	Claoxylon	sandwicense	bark	1	11	H	23	
Drosophila		okala	akoko	seed plants	Euphorbiaceae	Chamaesyce		bark	1	50	O	23	
Drosophila		grimshawi	crucigera	seed plants	Fabaceae	Erythrina		bark	1	1	O	15	
Drosophila		grimshawi	villosipedis	seed plants	Fabaceae	Acacia	koa	flux	1	1	K	15	
Drosophila		grimshawi	gradata	seed plants	Fabaceae	Acacia	koa	flux	2	2	O	15	
Drosophila		grimshawi	crucigera	seed plants	Fabaceae	Acacia	koa	flux	3	8	O	9,15	
Drosophila		grimshawi	hawaiiensis	seed plants	Fabaceae	Acacia	koa	flux	2	15	H	15	
Drosophila		grimshawi	silvarentis	seed plants	Fabaceae	Acacia	koa	flux	1	22	H	15	
Drosophila		grimshawi	musaphilia	seed plants	Fabaceae	Acacia	koa	flux	1	35	K	15	
Drosophila		grimshawi	recticilia	seed plants	Fabaceae	Acacia	koa	flux	1	40	M	15	
Drosophila		grimshawi	turbata	seed plants	Fabaceae	Acacia	koa	flux	5	79	O	15	
Drosophila		grimshawi	crucigera	seed plants	Fabaceae	Strongylodon	lucidus	pod	1	8	O	15	
Drosophila		mimica	involuta	seed plants	Fabaceae	Canavalia		flower	1	1	H	22	
Drosophila		nanella	dolomata	seed plants	Fabaceae	Strongylodon	lucida	fruit	1	1	O	24	
Drosophila		nudidrosophila	canavalia	seed plants	Fabaceae	Canavalia		bark	1	4	H	23	
Drosophila		planitibia	silvestris	seed plants	Fabaceae	Acacia	koa	flux	1	1	H	15	
Drosophila		planitibia	picticornis	seed plants	Fabaceae	Acacia	koa	flux	2	11	K	15	
Drosophila		quadrisetae	ischnotrix	seed plants	Fabaceae	Strongylodon	lucida	fruit	1	1	O	24	
Drosophila		semifuscata	Q12	seed plants	Fabaceae	Acacia	koa	flux	1	4	O	24	
Drosophila		semifuscata	anoplostoma	seed plants	Fabaceae	Acacia	koa	flux	1	9	M	24	
Drosophila		split tarsus	pectinitarsus	seed plants	Fabaceae	Sophora	chrysophylla	leaf	1	4	H	12	
Drosophila		split tarsus	spiethi	seed plants	Fabaceae	Sophora	chrysophylla	leaf	1	5	H	12	
Drosophila		unplaced modified mouthpart	omnivora	seed plants	Fabaceae	Strongylodon	lucida	fruit	1	8	O	24	
Scaptomyza	Elmomyza		cyrtandrae	seed plants	Gesneriaceae	Cyrtandra	platyphylla	leaf	2	NA	H	8	
Scaptomyza	Elmomyza		sp_D	seed plants	Gesneriaceae	Cyrtandra		leaf	1	NA	M	24	
Drosophila		unplaced modified tarsus	J12	seed plants	Gunneraceae	Gunnera	petaloidea	petiole	1	1	M	12	n. sp. nr. confutata in 12
Drosophila		dissita	larifuga	seed plants	Lauraceae	Cryptocarya	oahuensis	fruit	1	19	O	24	
Drosophila		grimshawi	crucigera	seed plants	Lauraceae	Cryptocarya	oahuensis	fruit	1	65	O	15	
Drosophila		freycinetiae	25_vii_1979	seed plants	Liliaceae	Astelia	menziesiana	leaf	1	2	Mo	24	
Drosophila		quadrisetae	tendomentum	seed plants	Liliaceae	Astelia	menziesii	flower	1	4	H	24	
Drosophila		quadrisetae	G41	seed plants	Liliaceae	Astelia	menziesii	leaf	1	2	H	24	
Drosophila		grimshawi	crucigera	seed plants	Malvaceae	Hibiscus	amottianus	bark	2	8	O	15	
Drosophila		okala	kuhao	seed plants	Malvaceae	Hibiscus		bark	1	1	O	23	
Drosophila		quadrisetae	ischnotrix	seed plants	Malvaceae	Hibiscus		bark	1	1	O	24	
Scaptomyza	Bunostoma		palmae	seed plants	Malvaceae	Hibiscadelphus	giffardianus	flower	1	2	H	24	
Drosophila		adiastola	ochrobasis	fern	Marattiaceae	Marattia	douglasii	rachis	1	3	H	15	
Drosophila		fuscoamoeba	aquila	fern	Marattiaceae	Marattia	douglasii	rachis	1	1	H	24	
Drosophila		planitibia	silvestris	fern	Marattiaceae	Marattia	douglasii	rachis	1	1	H	15	
Drosophila		grimshawi	gradata	seed plants	Moraceae	Broussonetia	papyrifera	flux	1	1	O	12	
Drosophila		grimshawi	crucigera	seed plants	Moraceae	Broussonetia	papyrifera	flux	1	8	O	12	
Drosophila		bristle tarsus	K17N77	seed plants	Myoporaceae	Myoporum		leaf	2	12	H	12,24	listed as part of D. quasiexpansa in 12, probably n. sp
Drosophila		grimshawi	hawaiiensis	seed plants	Myoporaceae	Myoporum	sandwicense	flux	1	2	H	15	
Drosophila		grimshawi	gymnobasis	seed plants	Myoporaceae	Myoporum	sandwicense	flux	1	3	M	15	
Drosophila		grimshawi	silvarentis	seed plants	Myoporaceae	Myoporum	sandwicense	flux	45	550	H	15	
Drosophila		grimshawi	heedi	seed plants	Myoporaceae	Myoporum	sandwicense	flux, soil	7	214	H	13	
Drosophila		semifuscata	anoplostoma	seed plants	Myoporaceae	Myoporum	sandwicense	flux	1	9	M	24	
Drosophila		adiastola	ochrobasis	seed plants	Myrsinaceae	Myrsine	lessertiana	leaf	1	1	H	12	
Drosophila		bristle tarsus	prodita	seed plants	Myrsinaceae	Myrsine	lessertiana	leaf	3	15	HM	12	
Drosophila		ciliated tarsus	imparisetae	seed plants	Myrsinaceae	Myrsine	lessertiana	fruit	2	30	H	12	
Drosophila		grimshawi	crucigera	seed plants	Myrsinaceae	Myrsine	lessertiana	flux	1	1	O	15	
Drosophila		grimshawi	hawaiiensis	seed plants	Myrsinaceae	Myrsine	lessertiana	flux	2	2	H	15	
Drosophila		semifuscata	Q12	seed plants	Myrsinaceae	Myrsine		flux	1	1	O	24	
Drosophila		spoon tarsus	waddingtoni	seed plants	Myrsinaceae	Myrsine	lessertiana	leaf	1	2	M	12	
Scaptomyza	Tantalia		varipicta	seed plants	Myrsinaceae	Myrsine	sp	fruit	1	1	H	12	n sp. Tantalia arista in 12
Scaptomyza	Tantalia		flavida	seed plants	Myrsinaceae	Myrsine		leaf	1	2	H	12	
Drosophila		planitibia	picticornis	seed plants	Myrtaceae	Metrosideros	polymorpha	flux	2	6	K	12,15	
Drosophila		semifuscata	anoplostoma	seed plants	Myrtaceae	Metrosideros	polymorpha	flux	1	1		24	
Drosophila		semifuscata	acanthostoma	seed plants	Myrtaceae	Metrosideros	polymorpha	flux	2	11	H	24	
Drosophila		ateledrosophila	papala	seed plants	Nyctaginaceae	Pisonia	brunoniana	bark	2	4	H	24	
Drosophila		dissita	dissita	seed plants	Nyctaginaceae	Pisonia	brunoniana	bark	2	5	H	24	
Drosophila		dissita	dissita_Molokai	seed plants	Nyctaginaceae	Pisonia		stem	1	1	M	24	
Drosophila		dissita	vicaria	seed plants	Nyctaginaceae	Pisonia		stem	1	1	Mo	24	
Drosophila		dissita	brevissima	seed plants	Nyctaginaceae	Pisonia		stem	1	2	Mo	24	
Drosophila		dissita	eumecothrix	seed plants	Nyctaginaceae	Pisonia		stem	1	2	L	24	
Drosophila		dissita	Q20A	seed plants	Nyctaginaceae	Pisonia		stem	1	2	L	24	
Drosophila		dissita	larifuga	seed plants	Nyctaginaceae	Pisonia		stem	1	4	O	24	
Drosophila		dissita	dissita_Maui	seed plants	Nyctaginaceae	Pisonia		stem	1	6	M	24	
Drosophila		grimshawi	paucipuncta	seed plants	Nyctaginaceae	Pisonia	brunoniana	bark	1	1	H	24	
Drosophila		grimshawi	inedita	seed plants	Nyctaginaceae	Pisonia		bark, stem	4	31	O	15	
Drosophila		grimshawi	crucigera	seed plants	Nyctaginaceae	Pisonia		bark, stem	6	50	O	15	
Drosophila		grimshawi	crucigera	seed plants	Nyctaginaceae	Pisonia		leaf	1	1	O	15	
Drosophila		grimshawi	ocellata	seed plants	Nyctaginaceae	Pisonia		stem	1	1	K	15	
Drosophila		grimshawi	oreas	seed plants	Nyctaginaceae	Pisonia		stem	1	2	M	15	
Drosophila		grimshawi	pisonia	seed plants	Nyctaginaceae	Pisonia		stem	1	2	H	15	
Drosophila		grimshawi	disjuncta	seed plants	Nyctaginaceae	Pisonia		stem	1	3	M	15	
Drosophila		grimshawi	hexachaetae	seed plants	Nyctaginaceae	Pisonia		stem	1	3	O	15	
Drosophila		grimshawi	macrothrix	seed plants	Nyctaginaceae	Pisonia	brunoniana	stem	3	8	H	1524	
Drosophila		grimshawi	ambochila	seed plants	Nyctaginaceae	Pisonia		stem	3	10	O	15	
Drosophila		grimshawi	grimshawi	seed plants	Nyctaginaceae	Pisonia		stem	5	19	M,Mo,L	15	
Drosophila		grimshawi	sejuncta	seed plants	Nyctaginaceae	Pisonia		wood, bark	1	1	K	15	
Drosophila		hirtitibia	konaensis	seed plants	Nyctaginaceae	Pisonia		stem	1	2	H	23	
Drosophila		hirtitibia	mawaena	seed plants	Nyctaginaceae	Pisonia		stem	1	2	L	23	females only
Drosophila		mimica	kambysellisi	seed plants	Nyctaginaceae	Pisonia	brunoniana	bark	1	1	H	24	
Drosophila		mimica	flavibasis	seed plants	Nyctaginaceae	Pisonia	umbellifera	leaf	1	13	K	22	
Drosophila		mimica	conjectura	seed plants	Nyctaginaceae	Pisonia	umbellifera	leaf	1	76	L	22	
Drosophila		mimica	kambysellisi	seed plants	Nyctaginaceae	Pisonia	brunoniana	leaf	6	128	H	11,12,22	
Drosophila		mimica	reschae	seed plants	Nyctaginaceae	Pisonia		leaf	1	NA	O	14	
Drosophila		nanella	dolomata	seed plants	Nyctaginaceae	Pisonia		leaf	3	10	K	24	
Drosophila		nanella	nanella	seed plants	Nyctaginaceae	Pisonia		leaf	3	31	K	24	
Drosophila		nudidrosophila	eximia	seed plants	Nyctaginaceae	Pisonia		stem	1	7	Mo	23	
Drosophila		setiger	desallei	seed plants	Nyctaginaceae	Pisonia	brunoniana	stem	1	1	H	24	
Drosophila		unplaced modified mouthpart	barbata	seed plants	Nyctaginaceae	Pisonia	brunoniana	bark	1	1	H	24	
Scaptomyza	Elmomyza		sp_A	seed plants	Nyctaginaceae	Pisonia		fruit	1	NA	K	24	
Scaptomyza	Elmomyza		sp_B	seed plants	Nyctaginaceae	Pisonia		fruit	1	NA	O	24	
Scaptomyza	Elmomyza		sp_C	seed plants	Nyctaginaceae	Pisonia		fruit	1	NA	H	24	
Scaptomyza	Elmomyza		argentifrons	seed plants	Nyctaginaceae	Pisonia		leaf	1	1	O	24	
Scaptomyza	Tantalia		gilvivirilia	seed plants	Nyctaginaceae	Pisonia		leaf	1	2	H	12	
Drosophila		grimshawi	gradata	seed plants	Oleaceae	Nestegis	sandwicensis	flux	1	2	O	15	
Drosophila		grimshawi	silvarentis	seed plants	Oleaceae	Nestegis	sandwicensis	flux	1	3	H	15	
Drosophila		grimshawi	hawaiiensis	seed plants	Oleaceae	Nestegis	sandwicensis	flux	1	6	H	15	
Drosophila		hirtitarsus	hirtitarsus	seed plants	Oleaceae	Nestegis	sandwicensis	flux	2	3	MoL	24	
Drosophila		mimica	infuscata	seed plants	Oleaceae	Nestegis	sandwicensis	bark, stem	1	1	H	8	
Drosophila		semifuscata	acanthostoma	seed plants	Oleaceae	Nestegis	sandwicensis	flux	1	5	H	24	
