genus	species	describer	BL	WL
Idiomyia	grimshawi	n sp	6	5.5
Drosophila	z-notata	n sp	4	4.5
Drosophila	fuscoamoeba	n sp	3-3.5	3.5
Drosophila	punalua	n sp	4	4
Drosophila	iki	n variety (nigra)	4	4
Drosophila	kauluai	n sp	3-3.5	4
