genus	species	describer	describer_details	group	subgroup	clade
Drosophila	pilipa	Magnacca	2012	picticornis	picticornis	Picture wing clade
Drosophila	kinoole	Magnacca	2012	grimshawi	aglaia	Picture wing clade
Drosophila	kikiko	Magnacca	2012	grimshawi	aglaia	Picture wing clade
Drosophila	moli	Magnacca	2012	grimshawi	lanaiensis	Picture wing clade
Drosophila	nukea	Magnacca	2012	grimshawi	hawaiiensis	Picture wing clade
Drosophila	pihulu	Magnacca	2012	grimshawi	vesciseta	Picture wing clade
Drosophila	opuhe	Magnacca	2012	grimshawi	vesciseta	Picture wing clade
