genus	species	describer	sex	type	4C	4V	5X	CI	HW	HW/TL	M	N	TL	TL/WL	WL	pupal_length
Drosophila	curtitarsis	n sp	female		0.6 (0.5-0.7)	1.6 (1.5-2.1)	2.7(2.3-3.0)	4.7 (4.5-4.9)	0.9 (0.8-1.1)	0.8 (0.8-0.9)	0.6 (0.5-0.8)	7	1.2  (1.0-1.3)	0.5 (0.4-0.5)	2.6 (2.1-2.9)	
Drosophila	curtitarsis	n sp	male	KAUA`I: Holotype male, Berry Flat Trail, Koke`e, 18.iv.1974, “ex: mushrooms,”HTS, BPBM 16539	0.5	1.6	3.7	4.9	0.9	0.8	0.6	NA	1	0.4	2.4	
Drosophila	curtitarsis	n sp	male		0.5 (0.5-0.6)	1.6 (1.5-1.8)	3.3 (2.8-4.0)	5.2 (4.8-5.6)	0.9  (0.8-1.0)	0.8 (0.8-0.9)	0.6 (0.6-0.7)	10	1.0  (1.0-1.1)	0.4 (04-0.5)	2.4  (2.1-2.9)	
Drosophila	demipolita	Hardy 1965: 239	female		0.5	1.4	2	4.4	1	0.8	0.5	1	1.2	0.5	2.6	
Drosophila	demipolita	Hardy 1965: 239	male		0.6	1.3	1.9	3.4	0.8	0.8	0.4	1	1	0.4	2.5	
Drosophila	denotata	Hardy 1965: 241	female		0.5	1.2 (1.1-1.2)	1.4 (1.1-1.5)	4.1(4.0-4.3)	1.4  (1.2-1.5)	0.7	0.3 (0.2-0.3)	4	1.8  (1.7-2.0)	0.5	3.6  (3.3-3.9)	
Drosophila	denotata	Hardy 1965: 241	male		0.4 (0.4-0.5)	1.0 (1.0-1.1)	1.4 (1.1-1.7)	4.6 (4.5-4.7)	2.7  (2.7-2.8)	0.7 (0.7-0.8)	0.3 (0.2-0.3)	3	1.8	0.5	3.8  (3.7-3.9)	
Drosophila	denotata	Hardy 1965: 241			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.1 mm (2.0-2.2).
Drosophila	dives	n sp	female	Allotype female, same collection asholotype, BPBM 16366a	0.6	1.5	1.8	3.8	0.9	0.7	0.4	NA	1.3	0.5	2.8	
Drosophila	dives	n sp	female		NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	
Drosophila	dives	n sp	male	HAWAI`I: Holotype male, Kilauea, Volcanoes National Park, 29.i.1969, MDD,BPBM 16366	0.5	1.4	1.6	4.1	1	0.8	0.4	NA	1.2	0.4	2.8	
Drosophila	dives	n sp	male		0.6 (0.5-0.6)	1.6  (1.4-1.8)	1.9 (1.6-2.3)	4.3 (4.1-4.8)	1.0  (0.9-1.1)	0.8	0.5 (0.4-0.6)	5	1.3  (1.2-1.3)	0.4	2.9  (2.7-3.1)	
Drosophila	dolichotarsis	Hardy 1966: 206	female	Allotypefemale, Kaupo Gap, Haleakala, 4750 ft., 19.vi.1975, KYK, BPBM 11260, right 3rd antennalsegment missing (Evenhuis, 1982)	0.3	1.2	0.9	7.4	1.4	0.7	0.3	NA	2.1	0.4	4.9	
Drosophila	dolichotarsis	Hardy 1966: 206	female		NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	
Drosophila	dolichotarsis	Hardy 1966: 206	male		0.4	1.3 (1.2-1.3)	0.9(0.7-1.0)	6	1.6  (1.5-1.7)	0.7	0.2	2	2.3  (2.2-2.4)	0.4 (0.3-0.4)	6.3	
Drosophila	fascigera	n sp	male	KAUA`I: Holotype male, Mahanaloa Valley, Koke`e, 1950 ft., 23.iii.1973, KYK,BPBM 16354	0.6	1.6	2	4.4	0.9	0.9	0.4	NA	1	0.4	2.3	
Drosophila	fascigera	n sp	male		0.6	1.7	2	4.1	0.9  (0.9 - 1.0)	0.9	0.5	5	1.0  (0.9 - 1.1)	0.5	2.0  (1.9 - 2.3)	
Drosophila	flavisternum	Hardy 1965: 275	male		0.7	1.6	2.1	3.7	1	0.8	0.5	1	1.3	0.5	2.7	
