genus	species	describer	sex	4C	4V	5X	CI	HW	HW/FS	HW/TL	M	N	TL	TL/WL	WL
Drosophila	kauaiensis	n sp	male	0.7 (0.6-0.7)	1.7 (1.5-1.8)	1.5 (1.4-1.8)	3.3 (3.1-3.7)	0.81 (0.79-0.83)	2.8 (2.7-3)	0.8 (0.8-0.9)	0.5 (0.4-0.5)	5	0.97 (0.94-1)	0.5 (0.5-0.5)	1.8 (1.74-1.83)
Drosophila	konaensis	n sp	female	0.6 (0.6-0.6)	1.7 (1.7-1.8)	1.7 (1.7-1.9)	4.2 (4.1-4.3)	0.82 (0.75-0.95)	2.2 (2.1-2.4)	0.7 (0.7-0.7)	0.6 (0.5-0.6)	5	1.2 (1.11-1.35)	0.5 (0.5-0.5)	2.36 (2.13-2.68)
Drosophila	konaensis	n sp	male	0.6 (0.5-0.6)	1.7 (1.5-1.9)	1.7 (1.6-1.9)	4.1 (3.8-4.6)	0.75 (0.65-0.8)	2.3 (2.3-2.4)	0.7 (0.7-0.8)	0.5 (0.5-0.6)	4	1.06 (1-1.11)	0.5 (0.5-0.5)	2 (1.89-2.08)
Drosophila	kualapa	n sp	female	0.7 (0.7-0.7)	1.9 (1.9-1.9)	1.8 (1.7-1.9)	3.7 (3.7-3.8)	0.88 (0.79-0.95)	2.1 (2-2.1)	0.8 (0.7-0.8)	0.6 (0.6-0.6)	3	1.15 (1.01-1.24)	0.5 (0.5-0.5)	2.5 (2.19-2.65)
Drosophila	kualapa	n sp	male	0.7 (0.6-0.7)	1.9 (1.8-2)	1.6 (1.3-1.7)	3.9 (3.6-4.2)	0.87 (0.83-0.91)	2 (1.7-2.1)	0.8 (0.8-0.8)	0.5 (0.5-0.6)	5	1.12 (1.06-1.19)	0.5 (0.5-0.5)	2.25 (2.13-2.35)
Drosophila	kuhao	n sp	female	0.7	1.8	1.7	3.9	0.81	2.2	0.8	0.5	1	1.08	0.5	2.3
Drosophila	kuhao	n sp	male	0.7	1.8	1.6	3.4	0.74	2.2	0.8	0.5	1	0.91	0.5	1.85
Drosophila	lauoho	n sp	female	0.6 (0.6-0.7)	1.4 (1.3-1.6)	1.2 (1.1-1.4)	3.7 (3.4-3.9)	1.02 (0.91-1.09)	2.6 (2.6-2.6)	0.7 (0.7-0.8)	0.4 (0.3-0.4)	4	1.38 (1.2-1.48)	0.5 (0.5-0.6)	2.54 (2.28-2.71)
Drosophila	lauoho	n sp	male	0.6 (0.6-0.7)	1.5 (1.4-1.6)	1.4 (1.1-1.5)	3.6 (3.4-3.8)	0.89 (0.83-0.96)	2.8 (2.6-3)	0.8 (0.8-0.8)	0.4 (0.3-0.5)	5	1.14 (1.09-1.24)	0.6 (0.5-0.6)	2.04 (1.95-2.25)
Drosophila	lepidobregma	Hardy 1965	female	0.7 (0.6-0.7)	1.8 (1.7-1.9)	1.9 (1.7-2.1)	3.6 (3.4-3.9)	0.83 (0.78-0.89)	2.1 (2.1-2.1)	0.7 (0.7-0.7)	0.6 (0.5-0.6)	2	1.18 (1.13-1.24)	0.5 (0.5-0.5)	2.49 (2.38-2.6)
Drosophila	lepidobregma	Hardy 1965	male	0.7 (0.7-0.7)	1.9 (1.8-1.9)	1.9 (1.8-2)	3.8 (3.8-3.8)	0.75 (0.69-0.79)	1.9 (1.9-1.9)	0.7 (0.7-0.8)	0.6 (0.6-0.6)	3	1.03 (0.98-1.06)	0.5 (0.5-0.5)	2.1 (2-2.23)
Drosophila	longipalpus	n sp	male	0.9	2.1	1.8	2.8	0.71	2.2	0.8	0.7	1	0.94	0.5	1.9
Drosophila	mahui	n sp	female	0.7 (0.7-0.7)	1.9 (1.8-2)	1.9 (1.5-2.2)	3.6 (3.2-4)	0.83 (0.75-0.99)	2 (1.9-2.1)	0.7 (0.7-0.7)	0.6 (0.5-0.6)	4	1.19 (1.09-1.48)	0.5 (0.5-0.5)	2.46 (2.25-2.95)
Drosophila	mahui	n sp	male	0.7 (0.6-0.7)	1.9 (1.8-2)	1.7 (1.5-1.8)	3.8 (3.6-4.1)	0.8 (0.7-0.9)	1.8 (1.8-1.8)	0.7 (0.7-0.7)	0.6 (0.5-0.6)	4	1.12 (1.03-1.29)	0.5 (0.5-0.5)	2.18 (1.88-2.45)
Drosophila	makawao	n sp	female	0.6 (0.6-0.6)	1.7 (1.7-1.8)	1.7 (1.6-1.7)	3.8 (3.7-3.9)	0.78 (0.75-0.80)	2.1 (2.1-2.1)	0.7 (0.6-0.7)	0.5 (0.5-0.5)	2	1.16 (1.09-1.24)	0.5 (0.5-0.5)	2.33 (2.28-2.38)
Drosophila	makawao	n sp	male	0.7 (0.7-0.8)	1.9 (1.8-1.9)	1.7 (1.6-1.8)	3.5 (3.2-3.8)	0.67 (0.65-0.69)	2.2 (2.2-2.4)	0.8 (0.7-0.8)	0.6 (0.6-0.6)	3	0.88 (0.88-0.88)	0.5 (0.5-0.5)	1.84 (1.80-1.90)
Drosophila	malele	n sp	female	0.7 (0.7-0.8)	1.9 (1.8-2)	1.6 (1.3-1.9)	3.4 (2.9-3.7)	0.81 (0.71-0.96)	2.2 (2-2.3)	0.7 (0.7-0.8)	0.5 (0.5-0.6)	5	1.09 (0.95-1.3)	0.5 (0.5-0.5)	2.33 (2.1-2.76)
Drosophila	malele	n sp	male	0.7 (0.7-0.8)	1.9 (1.8-2)	1.8 (1.7-1.9)	3.5 (3.3-3.7)	0.77 (0.7-0.83)	2.2 (2.1-2.4)	0.8 (0.8-0.8)	0.6 (0.5-0.7)	4	0.98 (0.88-1.05)	0.5 (0.5-0.5)	1.93 (1.83-2.08)
Drosophila	mawaena	n sp	female	0.6 (0.5-0.6)	1.5 (1.4-1.6)	1.4 (1.3-1.6)	4.1 (3.7-4.4)	0.88 (0.84-0.9)	2.4 (2.3-2.4)	0.7 (0.7-0.7)	0.5 (0.4-0.5)	3	1.26 (1.19-1.3)	0.5 (0.5-0.5)	2.52 (2.33-2.65)
Drosophila	mawaena	n sp	male	0.7	1.7	1.6	3.7	0.7	2.4	0.7	0.5	1	0.96	0.5	1.93
Drosophila	milolii	n sp	female	0.6	1.5	1.1	3.6	1.04	2.8	0.7	0.3	1	1.39	0.5	2.6
Drosophila	milolii	n sp	male	0.6 (0.6-0.6)	1.5 (1.5-1.6)	1.3 (1.2-1.4)	3.6 (3.5-3.7)	0.89 (0.89-0.9)	2.9 (2.8-3)	0.8 (0.8-0.8)	0.4 (0.4-0.4)	2	1.11 (1.08-1.14)	0.5 (0.5-0.5)	2.05 (2.03-2.08)
Drosophila	okala	n sp	female	0.6 (0.6-0.7)	1.7 (1.6-1.7)	1.6 (1.6-1.7)	4 (3.6-4.1)	0.88 (0.85-0.93)	2.2 (2.1-2.2)	0.7 (0.7-0.7)	0.5 (0.5-0.5)	5	1.24 (1.19-1.29)	0.5 (0.5-0.5)	2.48 (2.38-2.55)
Drosophila	okala	n sp	male	0.6 (0.6-0.8)	1.7 (1.6-1.9)	1.7 (1-2)	3.7 (3.4-4.2)	0.77 (0.69-0.79)	2.1 (2-2.3)	0.7 (0.7-0.8)	0.5 (0.3-0.7)	5	1.03 (0.94-1.1)	0.5 (0.5-0.5)	2.02 (1.9-2.08)
Drosophila	panina	n sp	male	0.7 (0.6-0.7)	1.9 (1.8-1.9)	1.8 (1.8-1.9)	3.7 (3.4-4.1)	0.79 (0.78-0.80)	2.1 (2.0-2.2)	0.7 (0.7-0.7)	0.6 (0.6-0.7)	3	1.09 (1.09-1.09)	0.5 (0.5-0.5)	2.03 (2.03-2.05)
Drosophila	panoanoa	n sp	male	0.7	1.8	1.9	3.8	0.86	2.2	0.7	0.6	1	1.19	0.5	2.23
Drosophila	papaalai	n sp	female	0.6 (0.6-0.6)	1.6 (1.6-1.6)	1.7 (1.6-1.8)	4.1 (3.9-4.2)	0.83 (0.79-0.86)	2.3 (2.3-2.3)	0.7 (0.7-0.7)	0.5 (0.5-0.5)	2	1.21 (1.15-1.28)	0.5 (0.5-0.5)	2.54 (2.43-2.66)
Drosophila	papaalai	n sp	male	0.6 (0.6-0.7)	1.7 (1.7-1.8)	1.7 (1.7-1.7)	3.8 (3.7-3.8)	0.76 (0.75-0.78)	2.3 (2.3-2.4)	0.7 (0.7-0.7)	0.5 (0.5-0.5)	2	1.05 (1.04-1.06)	0.5 (0.5-0.5)	2.01 (1.95-2.08)
Drosophila	papala	n sp	female	0.7 (0.6-0.7)	1.7 (1.7-1.8)	1.6 (1.4-1.8)	3.7 (3.3-4)	0.84 (0.78-0.9)	2.1 (2-2.2)	0.7 (0.7-0.7)	0.5 (0.5-0.6)	5	1.22 (1.18-1.28)	0.5 (0.5-0.5)	2.46 (2.28-2.66)
Drosophila	papala	n sp	male	0.7 (0.7-0.8)	1.8 (1.7-1.8)	1.6 (1.6-1.9)	3.5 (3.3-3.7)	0.76 (0.65-0.81)	2.3 (2.2-2.3)	0.7 (0.7-0.8)	0.5 (0.5-0.6)	5	1.01 (0.95-1.08)	0.5 (0.5-0.5)	2.04 (1.85-2.18)
Drosophila	pohaka	n sp	female	0.6 (0.6-0.6)	1.6 (1.6-1.8)	1.4 (1.3-1.7)	4.2 (4.1-4.5)	0.83 (0.80-0.88)	2.6 (2.5-2.7)	0.7 (0.7-0.8)	0.5 (0.4-0.6)	5	1.17 (1.06-1.26)	0.5 (0.5-0.6)	2.16 (2.03-2.28)
Drosophila	pohaka	n sp	male	0.6 (0.5-0.6)	1.6 (1.6-1.6)	1.6 (1.3-1.8)	4.3 (4.0-4.5)	0.79 (0.71-0.85)	2.9 (2.7-3.0)	0.7 (0.7-0.8)	0.5 (0.4-0.5)	5	1.06 (0.96-1.13)	0.5 (0.5-0.6)	1.93 (1.83-2.10)
Drosophila	poonia	n sp	female	0.7 (0.6-0.7)	1.9 (1.9-1.9)	4.8 (1.7-7.9)	3.9 (3.7-4)	0.89 (0.83-0.95)	2.1 (2.1-2.2)	0.8 (0.8-0.8)	1.6 (0.6-2.6)	2	1.18 (1.1-1.26)	0.5 (0.5-0.5)	2.3 (2.2-2.4)
Drosophila	poonia	n sp	male	0.7 (0.7-0.8)	1.9 (1.8-1.9)	1.8 (1.7-1.9)	3.2 (3.1-3.3)	0.74 (0.73-0.76)	1.8 (1.7-1.9)	0.8 (0.8-0.8)	0.6 (0.6-0.6)	2	0.98 (0.95-1.01)	0.5 (0.5-0.5)	1.81 (1.75-1.88)
Drosophila	preapicula	Hardy 1965	female	0.7	2	1.9	3.7	1.32	2.4	0.8	0.7	1	1.7	0.5	3.48
Drosophila	preapicula	Hardy 1965	male	0.7 (0.6-0.7)	1.8 (1.7-1.9)	1.7 (1.4-2)	3.7 (3.4-3.9)	0.75 (0.68-0.83)	2.3 (2.2-2.4)	0.8 (0.7-0.8)	0.6 (0.5-0.6)	4	0.95 (0.88-1.03)	0.5 (0.5-0.5)	1.83 (1.73-1.98)
Drosophila	velata	Hardy 1965	female	0.6	1.5	1.3	3.7	0.88	2.8	0.8	0.4	1	1.1	0.5	2.06
Drosophila	velata	Hardy 1965	male	0.7 (0.7-0.7)	1.6 (1.6-1.7)	1.2 (1.1-1.3)	3.5 (3.3-3.6)	0.83 (0.73-0.93)	2.6 (2.6-2.8)	0.8 (0.7-0.8)	0.4 (0.4-0.5)	4	1.11 (0.95-1.28)	0.5 (0.5-0.5)	2.09 (1.85-2.33)
